example_id                                     | status  | run_time        |
./spec/resources/reference_spec.rb[1:3:1]      | passed  | 0.00005 seconds |
./spec/resources/reference_spec.rb[1:3:2]      | passed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:4:1]      | passed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:4:2]      | passed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:5:1:1]    | failed  | 0.00004 seconds |
./spec/resources/reference_spec.rb[1:5:1:2]    | failed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:5:2:1]    | failed  | 0.00004 seconds |
./spec/resources/reference_spec.rb[1:5:2:2]    | failed  | 0.00005 seconds |
./spec/resources/reference_spec.rb[1:5:3:1]    | failed  | 0.00006 seconds |
./spec/resources/reference_spec.rb[1:6:1]      | passed  | 0.00004 seconds |
./spec/resources/reference_spec.rb[1:6:2]      | passed  | 0.00004 seconds |
./spec/resources/reference_spec.rb[1:6:3]      | passed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:6:4]      | passed  | 0.00004 seconds |
./spec/resources/reference_spec.rb[1:7:1]      | failed  | 0.00042 seconds |
./spec/resources/reference_spec.rb[1:7:2]      | passed  | 0.00014 seconds |
./spec/resources/reference_spec.rb[1:8:1]      | passed  | 0.00006 seconds |
./spec/resources/reference_spec.rb[1:8:2]      | failed  | 0.00176 seconds |
./spec/resources/reference_spec.rb[1:9:1]      | failed  | 0.00005 seconds |
./spec/resources/reference_spec.rb[1:9:2]      | failed  | 0.00007 seconds |
./spec/resources/reference_spec.rb[1:10:1]     | failed  | 0.00005 seconds |
./spec/resources/reference_spec.rb[1:10:2]     | failed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:10:3]     | failed  | 0.00004 seconds |
./spec/resources/types_spec.rb[1:1:1]          | failed  | 0.0001 seconds  |
./spec/resources/types_spec.rb[1:1:2]          | failed  | 0.00012 seconds |
./spec/resources/types_spec.rb[1:1:3]          | failed  | 0.00013 seconds |
